,LoanAmount,data.Request.Input.Application.RequestedLoanTerm,data.Request.Input.BVN.StateOfOrigin,data.Request.Input.CB.CurrentDPD,data.Request.Input.CB.MaxDPD,data.Request.Input.CB.Outstandingloan,data.Request.Input.CB1.Labelling,data.Request.Input.CB2.Labelling,data.Request.Input.Customer.AddressLGA,data.Request.Input.Customer.EducationStatus,data.Request.Input.Customer.Employment.BusinessSector,data.Request.Input.Customer.Employment.EmployerLGA,data.Request.Input.Customer.Employment.IndustrySector,data.Request.Input.Customer.ExistingCustomer,data.Request.Input.Customer.Gender,data.Request.Input.Customer.Income.Final,data.Request.Input.Customer.MaritalStatus,data.Request.Input.Customer.ResidentialStatus,data.Request.Input.Customer.TotalExistingExposure,previousApplication,salaryService,loanAge,data.Request.Input.Customer.Age
0,160000.0,11.0,0.3928574872021717,0.0,0.0,0.0,0.44040247678018574,0.4129263913824057,0.476615203163763,0.44281793229643185,0.5063919873437158,0.40002703158873276,0.46629820821531875,1,0,1062000.0,0.45364536453645365,0.45443645083932854,160000.0,1,1,38,356.0
1,130000.0,14.0,0.40004455157916113,0.0,0.0,0.0,0.44040247678018574,0.4694783573806881,0.46428416000978534,0.44281793229643185,0.45890407585949666,0.379712180659019,0.49197879045806026,0,0,708000.0,0.4568764568764569,0.45443645083932854,123000.0,0,0,37,479.0
2,2690000.0,11.0,0.471073469342046,0.0,8.0,2330000.0,0.44040247678018574,0.4694783573806881,0.5363528439845596,0.45475113122171945,0.4905583684264643,0.5217257015040757,0.37192363309077975,1,0,29206000.0,0.4568764568764569,0.44892221180880976,3081000.0,1,0,38,588.0
3,170000.0,13.0,0.4615356204904945,1810.0,1810.0,0.0,0.45774647887323944,0.4694783573806881,0.470084171924464,0.45433255269320844,0.5031846524456339,0.531814720884261,0.40526968668929697,1,1,1479000.0,0.45364536453645365,0.47386172006745364,291000.0,1,0,36,393.0
4,120000.0,10.0,0.44387755113454985,194.0,194.0,830000.0,0.45774647887323944,0.4539823008849557,0.44545497076419477,0.45045045045045046,0.45890407585949666,0.4859069669135048,0.4375202018743684,0,0,776000.0,0.43488372093023253,0.44892221180880976,119000.0,0,0,37,721.0
5,390000.0,13.0,0.4774317289223725,0.0,0.0,0.0,0.45774647887323944,0.4539823008849557,0.4415584526838991,0.44281793229643185,0.4468097890743483,0.40235614355016347,0.4769970982233268,0,1,17775000.0,0.4568764568764569,0.47386172006745364,416000.0,0,1,37,583.0
6,530000.0,16.0,0.4747378959928985,0.0,0.0,0.0,0.44040247678018574,0.4129263913824057,0.46428416000978534,0.44281793229643185,0.3739186560656616,0.40002703158873276,0.31886873294614065,1,0,2991000.0,0.43488372093023253,0.44892221180880976,553000.0,1,0,34,344.0
7,1370000.0,32.0,0.46341463401227523,0.0,0.0,430000.0,0.44040247678018574,0.4539823008849557,0.4415584526838991,0.45475113122171945,0.4604834864076457,0.46365822718746796,0.44084111937285236,1,0,2905000.0,0.4568764568764569,0.47386172006745364,1729000.0,1,1,39,597.0
8,110000.0,10.0,0.3971634082048179,0.0,0.0,0.0,0.45774647887323944,0.4694783573806881,0.4121240088339391,0.45045045045045046,0.4687495951044435,0.46721243412305624,0.4696533706380367,0,1,11484000.0,0.43488372093023253,0.44892221180880976,1515000.0,0,1,37,478.0
9,210000.0,11.0,0.4774317289223725,0.0,0.0,0.0,0.44040247678018574,0.4539823008849557,0.5056772402445142,0.44281793229643185,0.417393662751422,0.4339650140059905,0.4653190175668822,0,0,1214000.0,0.43488372093023253,0.44892221180880976,189000.0,0,0,37,432.0
